# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5-HT7	FBgn0004573	FBtr0334508	protein_coding	0	3	0	575	3	3	10	77	0	425	0	0	0	0	0	0	0	0	0	0	60
5PtaseI	FBgn0259178	FBtr0299660	protein_coding	0	2	2	17	0	0	0	10	0	2	2	0	0	0	0	0	0	0	0	2	5
5PtaseI	FBgn0259178	FBtr0299661	protein_coding	0	2	2	17	2	0	0	10	0	0	2	0	0	0	0	0	0	0	0	2	5
5PtaseI	FBgn0259178	FBtr0474081	protein_coding	0	2	2	17	0	0	0	10	0	2	2	0	0	0	0	0	0	0	0	2	5
5SrRNA-Psi:CR33356	FBgn0053356	FBtr0086348	pseudogene	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5SrRNA:CR33353	FBgn0053353	FBtr0086345	rRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5SrRNA:CR33354	FBgn0053354	FBtr0086346	rRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5SrRNA:CR33355	FBgn0053355	FBtr0086347	rRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5SrRNA:CR33357	FBgn0053357	FBtr0086349	rRNA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
5SrRNA:CR33358	FBgn0053358	FBtr0086350	rRNA	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
5SrRNA:CR33359	FBgn0053359	FBtr0086351	rRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
5SrRNA:CR33360	FBgn0053360	FBtr0086352	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5SrRNA:CR33361	FBgn0053361	FBtr0086353	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5SrRNA:CR33362	FBgn0053362	FBtr0086354	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5SrRNA:CR33445	FBgn0053445	FBtr0086437	rRNA	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33446	FBgn0053446	FBtr0086438	rRNA	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33447	FBgn0053447	FBtr0086439	rRNA	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33448	FBgn0053448	FBtr0086440	rRNA	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33449	FBgn0053449	FBtr0086441	rRNA	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33450	FBgn0053450	FBtr0086442	rRNA	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33451	FBgn0053451	FBtr0086443	rRNA	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
5SrRNA:CR33452	FBgn0053452	FBtr0086444	rRNA	0	0	0	25	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
7B2	FBgn0041707	FBtr0078789	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
7B2	FBgn0041707	FBtr0301640	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
7SLRNA:CR32864	FBgn0000003	FBtr0081624	lincRNA	0	0	0	22	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	14
7SLRNA:CR42652	FBgn0261504	FBtr0302398	lincRNA	0	0	0	28	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	4
825-Oak	FBgn0052208	FBtr0273406	protein_coding	0	0	0	22	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
A16	FBgn0028965	FBtr0080427	protein_coding	0	4	6	11	0	1	2	2	0	1	6	0	0	0	0	0	0	0	0	3	6
AANAT1	FBgn0019643	FBtr0072254	protein_coding	0	1	0	25	0	1	7	0	0	17	0	0	0	0	0	0	0	0	0	0	1
AANAT1	FBgn0019643	FBtr0072255	protein_coding	0	1	0	14	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	10
AANATL2	FBgn0031791	FBtr0079243	protein_coding	0	0	0	132	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	51
AANATL2	FBgn0031791	FBtr0340167	protein_coding	0	0	0	134	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	51
AANATL3	FBgn0032839	FBtr0081350	protein_coding	0	0	1	22	0	0	1	17	0	0	1	0	0	0	0	0	0	0	0	0	4
AANATL4	FBgn0034429	FBtr0086514	protein_coding	0	0	0	12	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
AANATL5	FBgn0034426	FBtr0086562	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AANATL6	FBgn0034428	FBtr0300592	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
AANATL7	FBgn0040376	FBtr0070437	protein_coding	0	0	0	11	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	6
AANATL7	FBgn0040376	FBtr0302447	protein_coding	0	0	0	19	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	14
AANATL7	FBgn0040376	FBtr0302448	protein_coding	0	0	0	11	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	6
AANATL7	FBgn0040376	FBtr0302449	protein_coding	0	0	0	11	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	6
ABCA	FBgn0031170	FBtr0306679	protein_coding	0	0	0	4	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCA	FBgn0031170	FBtr0332488	protein_coding	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCA	FBgn0031170	FBtr0332489	protein_coding	0	0	0	4	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABCB7	FBgn0035244	FBtr0072754	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ABCB7	FBgn0035244	FBtr0072755	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ACC	FBgn0033246	FBtr0088871	protein_coding	0	0	1	8	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0	1
ACC	FBgn0033246	FBtr0088872	protein_coding	0	0	0	9	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1
ACC	FBgn0033246	FBtr0113053	protein_coding	0	0	0	9	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1
ACC	FBgn0033246	FBtr0339123	protein_coding	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3
ACC	FBgn0033246	FBtr0339124	protein_coding	0	0	0	13	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	4
ACC	FBgn0033246	FBtr0339125	protein_coding	0	0	0	13	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	4
ACXA	FBgn0040510	FBtr0080415	protein_coding	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ACXA	FBgn0040510	FBtr0305490	protein_coding	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ACXA	FBgn0040510	FBtr0305491	protein_coding	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ACXA	FBgn0040510	FBtr0333225	protein_coding	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ACXA	FBgn0040510	FBtr0344132	protein_coding	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ACXB	FBgn0040509	FBtr0080414	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ACXC	FBgn0040508	FBtr0080413	protein_coding	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
ACXC	FBgn0040508	FBtr0100494	protein_coding	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
ACXD	FBgn0040507	FBtr0072874	protein_coding	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3
ACXD	FBgn0040507	FBtr0332662	protein_coding	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3
ACXE	FBgn0040506	FBtr0310556	protein_coding	0	0	0	33	0	0	0	28	0	5	0	0	0	0	0	0	0	0	0	0	0
ADD1	FBgn0026573	FBtr0088041	protein_coding	0	1	1	24	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	1	19
ADD1	FBgn0026573	FBtr0088042	protein_coding	0	0	2	24	0	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	19
ADD1	FBgn0026573	FBtr0346629	protein_coding	0	1	1	24	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	1	19
ADPS	FBgn0033983	FBtr0087428	protein_coding	0	0	0	106	0	0	5	69	0	2	0	0	0	0	0	0	0	0	0	0	30
ADPS	FBgn0033983	FBtr0303760	protein_coding	1	0	0	113	0	0	0	77	0	7	0	0	1	0	0	0	0	0	0	0	30
ADPS	FBgn0033983	FBtr0303761	protein_coding	0	1	0	116	0	0	5	69	0	11	0	0	0	0	1	0	0	0	0	0	32
ADPS	FBgn0033983	FBtr0303762	protein_coding	0	0	0	117	0	0	0	69	0	16	0	0	0	0	0	0	0	0	0	0	32
AGBE	FBgn0053138	FBtr0087732	protein_coding	0	0	0	34	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	26
AGO1	FBgn0262739	FBtr0087612	protein_coding	0	2	0	90	19	1	4	26	0	37	0	0	0	0	1	0	0	0	0	0	4
AGO1	FBgn0262739	FBtr0087613	protein_coding	0	0	0	71	0	0	1	29	0	26	0	0	0	0	0	0	0	0	0	0	15
AGO1	FBgn0262739	FBtr0087614	protein_coding	0	0	0	83	2	0	0	39	0	24	0	0	0	0	0	0	0	0	0	0	18
AGO1	FBgn0262739	FBtr0305592	protein_coding	0	2	0	90	19	1	4	26	0	37	0	0	0	0	1	0	0	0	0	0	4
AGO2	FBgn0087035	FBtr0075559	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AGO2	FBgn0087035	FBtr0075560	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AGO2	FBgn0087035	FBtr0331933	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AGO3	FBgn0250816	FBtr0299880	protein_coding	0	1	0	65	0	0	0	5	0	60	0	0	0	0	0	0	0	0	0	1	0
AGO3	FBgn0250816	FBtr0299881	protein_coding	0	1	0	65	0	0	0	5	0	60	0	0	0	0	0	0	0	0	0	1	0
AGO3	FBgn0250816	FBtr0299882	protein_coding	0	1	0	65	0	0	0	5	0	60	0	0	0	0	0	0	0	0	0	1	0
AGO3	FBgn0250816	FBtr0301725	protein_coding	0	1	0	47	0	0	0	4	0	43	0	0	0	0	0	0	0	0	0	1	0
AIF	FBgn0031392	FBtr0077830	protein_coding	0	2	1	9	3	1	5	0	0	0	1	0	0	0	0	0	0	0	0	1	1
AIF	FBgn0031392	FBtr0077831	protein_coding	0	2	1	9	2	1	5	1	0	0	1	0	0	0	0	0	0	0	0	1	1
AIF	FBgn0031392	FBtr0330657	protein_coding	0	2	1	9	3	1	5	0	0	0	1	0	0	0	0	0	0	0	0	1	1
AIMP2	FBgn0036515	FBtr0075565	protein_coding	0	1	0	12	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	1	2
AIMP2	FBgn0036515	FBtr0075566	protein_coding	0	0	0	13	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	2
ALiX	FBgn0086346	FBtr0085241	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPdeam	FBgn0052626	FBtr0073833	protein_coding	0	0	0	16	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	8
AMPdeam	FBgn0052626	FBtr0301044	protein_coding	0	0	0	17	0	0	1	6	0	10	0	0	0	0	0	0	0	0	0	0	0
AMPdeam	FBgn0052626	FBtr0301045	protein_coding	0	0	0	16	0	0	1	6	0	3	0	0	0	0	0	0	0	0	0	0	6
AMPdeam	FBgn0052626	FBtr0301046	protein_coding	0	0	0	16	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	8
AMPdeam	FBgn0052626	FBtr0303292	protein_coding	0	0	0	16	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	8
AMPdeam	FBgn0052626	FBtr0309245	protein_coding	0	0	0	17	2	0	1	6	0	8	0	0	0	0	0	0	0	0	0	0	0
AMPdeam	FBgn0052626	FBtr0309246	protein_coding	0	0	0	16	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	8
AMPdeam	FBgn0052626	FBtr0340444	protein_coding	0	0	1	15	0	0	0	6	0	3	1	0	0	0	0	0	0	0	0	0	6
AMPdeam	FBgn0052626	FBtr0340445	protein_coding	0	0	0	16	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	8
AOX1	FBgn0267408	FBtr0083154	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AOX3	FBgn0038349	FBtr0083151	protein_coding	0	2	0	12	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AOX3	FBgn0038349	FBtr0433535	protein_coding	0	4	0	12	0	4	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AOX4	FBgn0038350	FBtr0083150	protein_coding	0	0	0	34	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	22
AP-1-2beta	FBgn0010380	FBtr0074789	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AP-1gamma	FBgn0030089	FBtr0071294	protein_coding	0	0	0	13	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	5
AP-1gamma	FBgn0030089	FBtr0071295	protein_coding	0	0	0	13	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	5
AP-1gamma	FBgn0030089	FBtr0071296	protein_coding	0	0	0	13	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	5
AP-1gamma	FBgn0030089	FBtr0071297	protein_coding	0	0	0	13	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	5
AP-1gamma	FBgn0030089	FBtr0071298	protein_coding	0	0	0	13	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	5
AP-1gamma	FBgn0030089	FBtr0112965	protein_coding	0	0	0	13	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	5
AP-1gamma	FBgn0030089	FBtr0309254	protein_coding	0	0	0	13	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	5
AP-1gamma	FBgn0030089	FBtr0309255	protein_coding	0	0	0	13	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	5
AP-1gamma	FBgn0030089	FBtr0333808	protein_coding	0	0	0	13	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	5
AP-1mu	FBgn0024833	FBtr0082114	protein_coding	0	0	1	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AP-1sigma	FBgn0039132	FBtr0084496	protein_coding	0	1	0	17	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	1	7
AP-1sigma	FBgn0039132	FBtr0305039	protein_coding	0	1	0	17	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	1	7
AP-1sigma	FBgn0039132	FBtr0305040	protein_coding	0	1	0	17	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	1	7
AP-1sigma	FBgn0039132	FBtr0335244	protein_coding	0	1	0	17	3	0	3	0	0	4	0	0	0	0	0	0	0	0	0	1	7
AP-2alpha	FBgn0264855	FBtr0089488	protein_coding	0	1	0	12	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3
AP-2alpha	FBgn0264855	FBtr0089489	protein_coding	0	1	0	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	2
AP-2mu	FBgn0263351	FBtr0084252	protein_coding	0	0	0	7	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	2
AP-2mu	FBgn0263351	FBtr0084253	protein_coding	0	0	0	7	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	2
AP-2mu	FBgn0263351	FBtr0301866	protein_coding	0	0	0	7	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	2
AP-2sigma	FBgn0043012	FBtr0084103	protein_coding	0	0	0	18	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	16
APC10	FBgn0034231	FBtr0086951	protein_coding	0	0	0	60	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	44
APC4	FBgn0052707	FBtr0071285	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
APC4	FBgn0052707	FBtr0309872	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
APC7	FBgn0029879	FBtr0070946	protein_coding	0	0	2	25	3	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	9
APC7	FBgn0029879	FBtr0070947	protein_coding	0	0	2	25	3	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	9
APP-BP1	FBgn0261112	FBtr0076208	protein_coding	0	1	0	19	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	1	4
APP-BP1	FBgn0261112	FBtr0331179	protein_coding	0	1	0	18	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	1	4
AQP	FBgn0033807	FBtr0087766	protein_coding	0	0	0	18	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	12
AQP	FBgn0033807	FBtr0300286	protein_coding	0	0	0	18	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	12
ASPP	FBgn0034606	FBtr0071622	protein_coding	0	0	0	331	3	0	1	16	0	245	0	0	0	0	0	0	0	0	0	0	66
ASPP	FBgn0034606	FBtr0071623	protein_coding	0	0	0	58	3	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	39
ASPP	FBgn0034606	FBtr0330232	protein_coding	0	0	0	332	3	0	1	16	0	245	0	0	0	0	0	0	0	0	0	0	67
ATP6AP2	FBgn0037671	FBtr0081978	protein_coding	0	0	0	11	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	2
ATP7	FBgn0030343	FBtr0273257	protein_coding	0	0	0	7	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4
ATP7	FBgn0030343	FBtr0334454	protein_coding	0	0	0	7	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4
ATP8A	FBgn0259221	FBtr0299754	protein_coding	0	0	0	117	2	0	0	52	0	53	0	0	0	0	0	0	0	0	0	0	10
ATP8A	FBgn0259221	FBtr0299755	protein_coding	0	0	0	115	2	0	0	52	0	51	0	0	0	0	0	0	0	0	0	0	10
ATP8A	FBgn0259221	FBtr0299756	protein_coding	0	0	0	103	3	0	2	55	0	27	0	0	0	0	0	0	0	0	0	0	16
ATP8A	FBgn0259221	FBtr0299757	protein_coding	0	0	0	115	2	0	0	52	0	51	0	0	0	0	0	0	0	0	0	0	10
ATP8A	FBgn0259221	FBtr0299758	protein_coding	0	0	0	117	2	0	0	52	0	53	0	0	0	0	0	0	0	0	0	0	10
ATP8A	FBgn0259221	FBtr0299759	protein_coding	0	0	0	117	2	0	0	52	0	53	0	0	0	0	0	0	0	0	0	0	10
ATP8A	FBgn0259221	FBtr0299760	protein_coding	0	0	0	117	3	0	0	55	0	49	0	0	0	0	0	0	0	0	0	0	10
ATP8A	FBgn0259221	FBtr0299761	protein_coding	0	0	0	117	2	0	0	52	0	53	0	0	0	0	0	0	0	0	0	0	10
ATP8A	FBgn0259221	FBtr0299762	protein_coding	0	0	0	103	2	0	2	52	0	31	0	0	0	0	0	0	0	0	0	0	16
ATP8A	FBgn0259221	FBtr0299763	protein_coding	0	0	0	103	2	0	2	52	0	31	0	0	0	0	0	0	0	0	0	0	16
ATP8A	FBgn0259221	FBtr0299764	protein_coding	0	0	0	103	2	0	2	52	0	31	0	0	0	0	0	0	0	0	0	0	16
